# L = 6 / J = 1 / lamb = 0.5
# particle_position = 2
# final_time = 5 / steps = 10
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.286937099390661365e-02 4.286937099390661365e-02 9.749260567227679974e-02 6.064330817659362854e-02 9.020539742417484907e-01 9.567705821062644223e-01 9.020539742417482687e-01 6.064330817659364242e-02 9.749260567227682750e-02 4.286937099390661365e-02 4.286937099390661365e-02
5.535782347349890720e-02 5.535782347349890720e-02 2.193061579061298116e-01 2.116417469230349457e-01 7.668271006405690260e-01 9.332873800206077375e-01 7.668271006405689150e-01 2.116417469230350012e-01 2.193061579061299227e-01 5.535782347349893495e-02 5.535782347349893495e-02
6.665552100023955373e-02 6.665552100023955373e-02 3.361166063004188409e-01 3.942949152301525317e-01 6.086745448041921414e-01 8.951223771499013937e-01 6.086745448041921414e-01 3.942949152301525872e-01 3.361166063004188409e-01 6.665552100023955373e-02 6.665552100023955373e-02
1.889388132009381382e-01 1.889388132009381382e-01 4.554116492937952954e-01 5.924724987123586306e-01 4.101650731879789569e-01 7.729285995183651226e-01 4.101650731879788458e-01 5.924724987123587416e-01 4.554116492937954064e-01 1.889388132009381382e-01 1.889388132009381382e-01
3.315733766828957152e-01 3.315733766828957152e-01 4.289249414384765369e-01 7.076194350819896561e-01 2.919737473488456247e-01 6.714530412831627437e-01 2.919737473488455692e-01 7.076194350819899892e-01 4.289249414384767034e-01 3.315733766828958262e-01 3.315733766828958262e-01
4.790114774892071936e-01 4.790114774892071936e-01 3.511064180667161083e-01 7.116832285958138993e-01 2.304372472500902658e-01 6.383033196468348436e-01 2.304372472500903213e-01 7.116832285958141213e-01 3.511064180667159973e-01 4.790114774892075267e-01 4.790114774892075267e-01
6.142486479445722347e-01 6.142486479445722347e-01 2.439424721949460806e-01 6.907814971064306642e-01 2.054322952077417275e-01 6.441371706399766639e-01 2.054322952077417830e-01 6.907814971064311083e-01 2.439424721949459141e-01 6.142486479445725678e-01 6.142486479445725678e-01
6.839458302423886416e-01 6.839458302423886416e-01 1.787736878745915525e-01 6.433270590859755389e-01 2.118860322876772451e-01 6.826618861821830420e-01 2.118860322876771618e-01 6.433270590859759830e-01 1.787736878745914137e-01 6.839458302423890856e-01 6.839458302423890856e-01
6.691097592210591971e-01 6.691097592210591971e-01 2.051840964976465176e-01 6.006229439580140772e-01 2.083190175930408894e-01 7.356854976740594410e-01 2.083190175930403898e-01 6.006229439580146323e-01 2.051840964976465176e-01 6.691097592210595302e-01 6.691097592210595302e-01
5.678927340567574422e-01 5.678927340567574422e-01 2.565196774243319600e-01 6.106481818016588070e-01 2.239037252186030502e-01 7.016235528579511938e-01 2.239037252186023286e-01 6.106481818016596952e-01 2.565196774243322375e-01 5.678927340567578863e-01 5.678927340567578863e-01
