# L = 6 / J = 1 / lamb = 0.5
# particle_position = 2
# final_time = 10 / steps = 100
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.463144227407662156e-03 2.463144227407662156e-03 4.948628125219784249e-03 2.497852503402753135e-03 9.950513348905364319e-01 9.975368270102639157e-01 9.950513348905365429e-01 2.497852503402755303e-03 4.948628125219784249e-03 2.463144227407661722e-03 2.463144227407661722e-03
9.422057688365121156e-03 9.422057688365121156e-03 1.919396009222856803e-02 9.963636709875833136e-03 9.808037437945066328e-01 9.905761516058467775e-01 9.808037437945066328e-01 9.963636709875836606e-03 1.919396009222857150e-02 9.422057688365128095e-03 9.422057688365128095e-03
1.967045155803509235e-02 1.967045155803509235e-02 4.104969800011071951e-02 2.230024390713232843e-02 9.589254388893470038e-01 9.803100692875263977e-01 9.589254388893470038e-01 2.230024390713232843e-02 4.104969800011076114e-02 1.967045155803512704e-02 1.967045155803512704e-02
3.146495290761778391e-02 3.146495290761778391e-02 6.806608760247526146e-02 3.930698517089972061e-02 9.318037587523356757e-01 9.684324522137044422e-01 9.318037587523355647e-01 3.930698517089970673e-02 6.806608760247533085e-02 3.146495290761786023e-02 3.146495290761786023e-02
4.286937099390669692e-02 4.286937099390669692e-02 9.749260567227711893e-02 6.064330817659386447e-02 9.020539742417542639e-01 9.567705821062704175e-01 9.020539742417542639e-01 6.064330817659383671e-02 9.749260567227721608e-02 4.286937099390682876e-02 4.286937099390682876e-02
5.213583689800776327e-02 5.213583689800776327e-02 1.267853744589777509e-01 8.581260268201695851e-02 8.720023783246327875e-01 9.468937107067254555e-01 8.720023783246326765e-01 8.581260268201693076e-02 1.267853744589778620e-01 5.213583689800793675e-02 5.213583689800793675e-02
5.804733577989776988e-02 5.804733577989776988e-02 1.540542768665625062e-01 1.141828580836979773e-01 8.432612466400589701e-01 9.397858515788911626e-01 8.432612466400591922e-01 1.141828580836979357e-01 1.540542768665626450e-01 5.804733577989797111e-02 5.804733577989797111e-02
6.015477786095023427e-02 6.015477786095023427e-02 1.783574539512157719e-01 1.450485793807357870e-01 8.164873280932237742e-01 9.356529914384520419e-01 8.164873280932238853e-01 1.450485793807356760e-01 1.783574539512158552e-01 6.015477786095045631e-02 6.015477786095045631e-02
5.886385986214564409e-02 5.886385986214564409e-02 1.997833536777486041e-01 1.777235446032019439e-01 7.913684338287254594e-01 9.339019053458093023e-01 7.913684338287255704e-01 1.777235446032017774e-01 1.997833536777486596e-01 5.886385986214585919e-02 5.886385986214585919e-02
5.535782347349913618e-02 5.535782347349913618e-02 2.193061579061315880e-01 2.116417469230366666e-01 7.668271006405779078e-01 9.332873800206177295e-01 7.668271006405779078e-01 2.116417469230365278e-01 2.193061579061316435e-01 5.535782347349935129e-02 5.535782347349935129e-02
5.137530109592283040e-02 5.137530109592283040e-02 2.384495336543469568e-01 2.464380366400995837e-01 7.413804107848993574e-01 9.321869411395498073e-01 7.413804107848995795e-01 2.464380366400994449e-01 2.384495336543470123e-01 5.137530109592301081e-02 5.137530109592301081e-02
4.889084329505793275e-02 4.889084329505793275e-02 2.588354639824385628e-01 2.819822603014461304e-01 7.135628320137945568e-01 9.289361340925149646e-01 7.135628320137948899e-01 2.819822603014459639e-01 2.588354639824385073e-01 4.889084329505807153e-02 4.889084329505807153e-02
4.976363383411759600e-02 4.976363383411759600e-02 2.817200026569229299e-01 3.183506172772467835e-01 6.823112098997168307e-01 9.221487089936007964e-01 6.823112098997170527e-01 3.183506172772466170e-01 2.817200026569228744e-01 4.976363383411766539e-02 4.976363383411766539e-02
5.542383398877186174e-02 5.542383398877186174e-02 3.076203268685917536e-01 3.557333116749243351e-01 6.472280110020279809e-01 9.109557657861993007e-01 6.472280110020282029e-01 3.557333116749240576e-01 3.076203268685916425e-01 5.542383398877191725e-02 5.542383398877191725e-02
6.665552100023991455e-02 6.665552100023991455e-02 3.361166063004231708e-01 3.942949152301574722e-01 6.086745448042025775e-01 8.951223771499157156e-01 6.086745448042030215e-01 3.942949152301570281e-01 3.361166063004228932e-01 6.665552100023991455e-02 6.665552100023991455e-02
